user_id,course_0,course_1,course_2,course_3,course_4,course_5,course_6,course_7,course_8,course_9,course_10,course_11,course_12,course_13,course_14,course_15,course_16,course_17,course_18,course_19
user_49,0,2,0,0,1,0,0,0,0,2,2,0,0,0,0,0,4,0,5,0
user_50,0,0,3,1,2,0,0,3,0,0,0,5,5,0,1,4,0,0,4,0
user_51,0,0,4,5,5,0,3,3,0,3,0,0,0,0,0,0,0,1,0,0
user_52,0,2,0,0,4,0,0,0,3,0,3,0,4,2,5,0,2,0,0,0
user_53,3,5,2,0,0,1,0,0,0,0,0,0,0,0,5,0,0,0,0,5
user_54,2,0,0,3,5,0,0,0,5,0,5,0,0,0,0,0,0,0,2,0
user_55,0,5,4,4,5,0,0,1,0,0,2,0,0,0,0,0,0,3,0,0
user_56,4,5,3,2,0,0,0,0,0,0,1,0,0,0,0,0,3,0,0,0
user_57,3,0,0,0,0,3,2,0,3,3,1,3,0,0,0,1,0,4,3,0
user_58,3,0,0,1,0,2,3,0,0,0,0,5,0,0,0,0,2,0,2,0
user_59,5,0,0,4,0,4,0,0,0,1,0,0,0,0,0,3,5,5,1,0
user_60,1,0,0,0,0,2,0,0,0,5,0,0,0,2,0,0,0,0,0,0
user_61,5,0,0,5,0,0,0,0,5,0,4,0,0,0,0,0,3,0,5,0
user_62,3,2,2,3,2,0,0,0,4,0,2,0,0,0,0,0,0,0,0,0
user_63,0,2,0,0,0,0,0,0,0,0,0,3,2,0,0,0,0,5,0,0
user_64,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1
user_65,0,4,0,0,1,3,1,2,0,2,0,4,0,2,0,0,0,1,0,0
user_66,0,0,3,0,5,0,0,2,0,0,0,1,0,5,5,0,0,0,0,0
user_67,0,0,3,1,1,0,0,0,5,0,3,0,0,1,0,3,4,0,0,0
user_68,4,0,0,0,1,0,1,4,0,0,5,0,3,0,0,3,0,0,0,0
user_69,0,0,5,0,0,0,2,0,5,0,0,0,0,0,0,3,0,0,0,1
user_70,0,0,0,1,0,0,3,2,0,3,0,0,0,0,0,4,0,0,0,4
user_71,0,0,0,0,5,5,0,5,0,3,0,0,0,0,0,0,0,1,0,0
user_72,5,0,0,0,3,0,0,3,5,0,0,0,3,0,0,4,0,0,0,0
user_73,0,0,0,0,5,0,5,0,3,2,0,1,3,0,0,0,2,2,2,0
user_74,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
user_75,0,0,0,0,0,0,0,0,0,2,2,1,5,0,0,0,0,4,0,4
user_76,0,4,0,0,0,0,0,0,2,0,0,0,1,0,0,0,0,0,0,0
user_77,1,0,0,0,5,0,2,0,0,0,5,0,2,4,0,0,0,0,3,4
user_78,0,0,2,0,3,0,0,0,0,0,0,0,1,3,0,0,0,0,0,0
user_79,0,0,0,0,5,0,0,0,0,1,0,5,0,0,1,0,0,0,0,4
user_80,0,0,0,0,0,0,0,2,0,0,4,0,0,0,0,0,5,0,0,1
user_81,0,0,0,5,0,0,0,0,0,0,1,0,0,2,4,0,0,0,5,4
user_82,0,3,0,0,0,1,0,3,2,1,0,0,0,0,0,4,0,0,0,0
user_83,0,0,4,0,5,3,0,4,0,2,0,3,3,2,2,0,0,0,0,0
user_84,0,5,0,3,0,3,4,0,0,2,0,0,0,0,0,0,0,0,5,0
user_85,5,0,0,0,0,0,0,0,0,0,0,0,2,0,0,5,0,0,5,0
user_86,0,0,0,0,0,0,0,5,2,0,0,0,0,0,0,4,0,0,0,0
user_87,3,1,2,0,0,0,0,0,2,0,0,0,0,0,5,2,5,0,0,0
user_88,0,3,0,0,0,0,1,0,0,0,0,2,4,5,2,0,0,0,0,3
user_89,0,4,0,0,0,4,0,0,0,0,0,1,0,0,0,0,1,0,0,0
user_90,5,1,0,0,0,2,0,0,0,0,0,2,0,0,0,5,0,2,0,0
user_91,0,0,0,2,0,0,0,5,2,0,5,0,0,1,2,0,0,0,4,0
user_92,0,0,0,0,5,0,0,0,4,0,0,2,3,3,4,0,1,0,3,1
user_93,2,0,0,0,5,4,0,0,0,1,2,0,0,3,1,0,0,0,0,0
user_94,0,3,0,2,0,0,0,0,1,5,0,0,2,0,0,1,0,0,0,2
user_95,0,0,2,0,1,0,5,0,0,0,0,3,5,0,0,1,4,0,0,0
user_96,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,2,0,3,0,0
user_97,0,0,2,1,2,0,0,0,0,0,0,0,0,1,5,4,0,0,0,2
user_98,0,0,3,0,0,0,0,0,0,0,0,3,0,0,0,5,0,0,3,3
user_99,0,2,0,0,0,0,1,0,0,1,2,0,0,0,1,0,5,0,0,0
